name,author,narrator,time,releasedate,language,stars,price,ratings
The Danger Gang,TomFletcher,"TomFelton,TomFletcher",252,2020-01-10,English,0.0,615.0,0.0
Mountain Mare,TerriFarley,NatalieBudig,235,2022-01-25,English,0.0,398.0,0.0
The Princess in Black and the Mermaid Princess,"ShannonHale,DeanHale",JuliaWhelan,20,2022-01-02,English,0.0,352.0,0.0
The Vanishing Statue,CarolynKeene,JorjeanaMarie,245,2020-06-16,English,5.0,305.0,6.0
Eye of the Earthquake Dragon,TraceyWest,EmilyEllet,45,2020-04-08,English,5.0,164.0,1.0
Peril at Granite Peak,FranklinW.Dixon,TimGregory,210,2016-01-21,English,5.0,305.0,3.0
Barbie - Aventura espacial,"Mattel,MartaCisaMuñoz-traductor",MiriamMonlleo,12,2022-02-02,catalan,0.0,76.0,0.0
The Disappearance of Emily Downs,C.J.Redwine,MiaSinclairJenness,296,2021-09-30,English,5.0,1003.0,1.0
The Solution,KatherineApplegate,EmilyEllet,174,2021-02-11,English,0.0,656.0,0.0
The Great Greenfield Bake-Off,GertrudeChandlerWarner,AimeeLilly,101,2021-01-09,English,0.0,234.0,0.0
Into Thin Air,FranklinW.Dixon,TimGregory,159,2016-01-21,English,5.0,305.0,10.0
Once upon a Thriller,CarolynKeene,JorjeanaMarie,141,2015-09-24,English,5.0,305.0,12.0
The Magician's Nephew,C.S.Lewis,KennethBranagh,235,2005-08-29,English,5.0,303.0,7.0
Leonora Bolt: Secret Inventor,LucyBrandt,NicoleDavis,175,2022-01-20,English,0.0,410.0,0.0
The Snail and the Whale,JuliaDonaldson,ImeldaStaunton,23,2008-07-10,English,5.0,323.0,5.0
Tigers for Dinner,RuskinBond,AdnanKapadia,39,2017-01-01,English,4.5,284.0,20.0
The Hidden Kingdom,TuiT.Sutherland,ShannonMcManus,454,2016-01-07,English,5.0,575.0,9.0
Eagle Strike,AnthonyHorowitz,OliverChris,417,2021-05-20,English,5.0,569.0,2.0
Captain Marvel - Ultron blir viral,"Marvel,CamillaDunér",MalinLybeck,11,2022-11-01,swedish,0.0,32.0,0.0
Toy Story 4,"Disney,OskarBlomberg",FrederickHalbout,147,2022-07-01,swedish,0.0,166.0,0.0
Three Lost Seeds,"StephieMorton,NicoleWong-illustrator",StevenJayCohen,13,2022-08-02,English,0.0,234.0,0.0
Mystery on the Mayhem Express,FranklinW.Dixon,TimGregory,238,2021-06-22,English,5.0,305.0,1.0
Tunnel of Secrets,FranklinW.Dixon,TimGregory,183,2015-02-11,English,5.0,305.0,3.0
